Column1,Column2,Column3,Column4
お弁当,おべんとう,boxed lunch,17
覚える,おぼえる,to remember,18
おまわりさん,おまわりさん,friendly term for policeman,19
重い,おもい,Heavy,20
おもしろい,おもしろい,Interesting,21
泳ぐ,およぐ,to swim,22
降りる,おりる,to get off to descend ,1
終る,おわる,to finish,2
音楽,おんがく,Music,3
女,おんな,Woman,4
女の子,おんなのこ,Girl,5
外国,がいこく,foreign country,6
外国人,がいこくじん,Foreigner,7
会社,かいしゃ,Company,8
階段,かいだん,Stairs,9
買い物,かいもの,Shopping,10
買う,かう,to buy,11
返す,かえす,to return something,12
帰る,かえる,to go back,13
かかる,かかる,to take time or money,14
かぎ,かぎ,Key,15
書く,かく,to write,16
学生,がくせい,Student,17
かける,かける,to call by phone,18
傘,かさ,Umbrella,19
貸す,かす,to lend,20
風,かぜ,Wind,21
風邪,かぜ,a cold,22
家族,かぞく,Family,1
方,かた,person way of doing,2
学校,がっこう,School,3
カップ,カップ,Cup,4
家庭,かてい,Household,5
角,かど,a corner,6
かばん,bag, basket,7
花瓶,かびん,a vase,8
紙,かみ,paper,9
カメラ,カメラ,camera,10
火曜日,かようび,Tuesday,11
辛い,からい,Spicy,12
体,からだ,Body,13
借りる,かりる,to borrow,14
軽い,かるい,Light,15
カレー,カレー,Curry,16
カレンダー,カレンダー,calendar,17
川/河,かわ,River,18
かわいい,かわいい,Cute,19
漢字,かんじ,Chinese character,20
木,き,tree wood,21
黄色,きいろ,yellow,22
黄色い,きいろい,yellow,1
消える,きえる,to disappear,2
聞く,きく,to hear to listen to to ask,3
北,きた,North,4
ギター,ギター,Guitar,5
汚い,きたない,Dirty,6
喫茶店,きっさてん,coffee lounge,7
切手,きって,postage stamp,8
切符,きっぷ,Ticket,9
昨日,きのう,Yesterday,10
九,きゅう/ く,Nine,11
牛肉,ぎゅうにく,Beef,12
牛乳,ぎゅうにゅう,Milk,13
今日,きょう,Today,14
教室,きょうしつ,Classroom,15
兄弟,きょうだい,(humble) siblings,16
去年,きょねん,last year,17
嫌い,きらい,Hate,18
切る,きる,to cut,19
着る,きる,to put on from the shoulders down ,20
きれい,きれい,pretty clean,21
キロ/キログラム,キロ/キログラム,Kilogram,22
キロ/キロメートル,キロ/キロメートル,Kilometer,1
銀行,ぎんこう,Bank,2
金曜日,きんようび,Friday,3
薬,くすり,medicine,4
ください,ください,Please,5
果物,くだもの,Fruit,6
口,くち,mouth opening,7
靴,くつ,Shoes,8
靴下,くつした,Socks,9
国,くに,Country,10
曇り,くもり,cloudy weather,11
曇る,くもる,to become cloudy to become dim ,12
暗い,くらい,Gloomy,13
クラス,クラス,Class,14
グラム,グラム,Gram,15
来る,くる,to come,16
車,くるま,car vehicle,17
黒,くろ,Black,18
黒い,くろい,black,19
警官,けいかん,policeman,20
今朝,けさ,this morning,21
消す,けす,to erase to turn off power ,22
結構,けっこう,splendid enough,1
結婚,けっこん,Marriage,2
月曜日,げつようび,Monday,3
玄関,げんかん,entry hall,4
元気,げんき,health vitality,5
五,ご,Five,6
公園,こうえん,Park,7
交差点,こうさてん,intersection,8
紅茶,こうちゃ,black tea,9
交番,こうばん,police box,10
声,こえ,Voice,11
コート,コート,coat tennis court,12
コーヒー,コーヒー,Coffee,13
ここ,ここ,Here,14
午後,ごご,afternoon,15
九日,ここのか,nine days ninth day,16
九つ,ここのつ,Nine,17
午前,ごぜん,morning,18
答える,こたえる,to answer,19
こちら,こちら,this person or way,20
こっち,こっち,this person or way,21
コップ,コップ,a glass,22
今年,ことし,this year,1
言葉,ことば,word language,2
子供,こども,Child,3
この,この,This,4
御飯,ごはん,cooked rice meal,5
コピーする,コピーする,to copy,6
困る,こまる,to be worried,7
これ,これ,This,8
今月,こんげつ,this month,9
今週,こんしゅう,this week,10
こんな,こんな,Such,11
今晩,こんばん,this evening,12
さあ,さあ,well…,13
財布,さいふ,Wallet,14
魚,さかな,Fish,15
先,さき,the future previous,16
咲く,さく,to bloom,17
作文,さくぶん,composition writing,18
差す,さす,to stretch out hands to raise an umbrella,19
雑誌,ざっし,Magazine,20
砂糖,さとう,Sugar,21
寒い,さむい,Cold,22
さ来年,さらいねん,year after next,1
三,さん,Three,2
散歩,さんぽする,to stroll,3
四,し/ よん,Four,4
塩,しお,Salt,5
しかし,しかし,However,6
時間,じかん,Time,7
仕事,しごと,Job,8
辞書,じしょ,Dictionary,9
静か,しずか,Quiet,10
下,した,Below,11
七,しち/ なな,Seven,12
質問,しつもん,Question,13
自転車,じてんしゃ,Bicycle,14
自動車,じどうしゃ,Automobile,15
死ぬ,しぬ,to die,16
字引,じびき,Dictionary,17
自分,じぶん,Oneself,18
閉まる,しまる,to close to be closed ,19
閉める,しめる,to close something,20
締める,しめる,to tie,21
じゃ/じゃあ,じゃ/じゃあ,well then…,22
写真,しゃしん,photograph,1
シャツ,シャツ,Shirt,2
シャワー,シャワー,Shower,3
十,じゅう/ とお,Ten,4
授業,じゅぎょう,lesson class work,5
宿題,しゅくだい,homework,6
上手,じょうず,Skillful,7
丈夫,じょうぶ,strong durable,8
しょうゆ,しょうゆ,soy sauce,9
食堂,しょくどう,dining hall,10
知る,しる,to know,11
白,しろ,White,12
白い,しろい,White,13
新聞,しんぶん,newspaper,14
水曜日,すいようび,Wednesday,15
吸う,すう,to smoke to suck,16
スカート,スカート,Skirt,17
好き,すき,Likeable,18
少ない,すくない,a few,19
すぐに,すぐに,Instantly,20
少し,すこし,Few,21
涼しい,すずしい,Refreshing,22
ストーブ,ストーブ,Heater,1
スプーン,スプーン,Spoon,2
スポーツ,スポーツ,Sport,3
ズボン,ズボン,Trousers,4
住む,すむ,to live in,5
スリッパ,スリッパ,Slippers,6
する,する,to do,7
座る,すわる,to sit,8
背,せ,height stature,9
生徒,せいと,Pupil,10
セーター,セーター,sweater jumper,11
せっけん,せっけん,Economy,12
背広,せびろ,business suit,13
狭い,せまい,Narrow,14
ゼロ,ゼロ,Zero,15
千,せん,Thousand,16
先月,せんげつ,last month,17
先週,せんしゅう,last week,18
先生,せんせい,teacher doctor,19
洗濯,せんたく,Washing,20
全部,ぜんぶ,All,21
掃除,そうじする,to clean to sweep,22
そうして/そして,そうして/そして,And,1
そこ,そこ,that place,2
そちら,そちら,over there,3
そっち,そっち,over there,4
外,そと,Outside,5
その,その,That,6
そば,そば,near beside,7
空,そら,Sky,8
それ,それ,that,9
それから,それから,after that,10
それでは,それでは,in that situation,11
大学,だいがく,university,12
大使館,たいしかん,embassy,13
大丈夫,だいじょうぶ,all right,14
大好き,だいすき,to be very likeable,15
大切,たいせつ,important,16
台所,だいどころ,kitchen,17
たいへん,たいへん,very,18
たいへん,たいへん,difficult situation,19
高い,たかい,tall expensive,20
たくさん,たくさん,many,21
タクシー,タクシー,taxi,22
出す,だす,to put out,1
立つ,たつ,to stand,2
たて,たて,length height,3
建物,たてもの,building,4
楽しい,たのしい,enjoyable,5
頼む,たのむ,to ask,6
たばこ,たばこ,tobacco cigarettes,7
たぶん,たぶん,probably,8
食べ物,たべもの,food,9
食べる,たべる,to eat,10
卵,たまご,egg,11
誰,だれ,who,12
誰,だれか,somebody,13
誕生日,たんじょうび,birthday,14
だんだん,だんだん,gradually,15
小さい,ちいさい,little,16
小さな,ちいさな,little,17
近い,ちかい,near,18
違う,ちがう,to differ,19
近く,ちかく,near,20
地下鉄,ちかてつ,underground train,21
地図,ちず,map,22
茶色,ちゃいろ,brown,1
ちゃわん,ちゃわん,rice bowl,2
ちょうど,ちょうど,exactly,3
ちょっと,ちょっと,somewhat,4
一日,ついたち,first of month,5
使う,つかう,to use,6
疲れる,つかれる,to get tired,7
次,つぎ,next,8
着く,つく,to arrive at,9
机,つくえ,desk,10
作る,つくる,to make,11
つける,つける,to turn on,12
勤める,つとめる,to work for someone,13
つまらない,つまらない,boring,14
冷たい,つめたい,cold to the touch,15
強い,つよい,powerful,16
手,て,hand,17
テープ,テープ,tape,18
テーブル,テーブル,table,19
テープレコーダー,テープレコーダー,tape recorder,20
出かける,でかける,to go out,21
手紙,てがみ,letter,22
できる,できる,to be able to,1
出口,でぐち,exit,2
テスト,テスト,test,3
では,では,with that...,4
デパート,デパート,department store,5
でも,でも,but,6
出る,でる,to appear to leave,7
テレビ,テレビ,television,8
天気,てんき,weather,9
電気,でんき,electricity electric light,10
電車,でんしゃ,electric train,11
電話,でんわ,telephone,12
戸,と,Japanese style door,13
ドア,ドア,Western style door,14
トイレ,トイレ,toilet,15
どう,どう,how in what way,16
どうして,どうして,for what reason,17
どうぞ,どうぞ,please,18
動物,どうぶつ,animal,19
どうも,どうも,thanks,20
遠い,とおい,far,21
十日,とおか,ten days the tenth day,22
時々,ときどき,sometimes,1
時計,とけい,watch clock,2
どこ,どこ,where,3
所,ところ,place,4
年,とし,year,5
図書館,としょかん,library,6
どちら,どちら,which of two,7
どっち,どっち,which,8
とても,とても,very,9
どなた,どなた,who,10
隣,となり,next door to,11
どの,どの,which,12
飛ぶ,とぶ,to fly to hop,13
止まる,とまる,to come to a halt,14
友達,ともだち,friend,15
土曜日,どようび,Saturday,16
鳥,とり,bird,17
とり肉,とりにく,chicken meat,18
取る,とる,to take something,19
撮る,とる,to take a photo or record a film,20
どれ,どれ,which (of three or more),21
ナイフ,ナイフ,knife,22
中,なか,middle,1
長い,ながい,long,2
鳴く,なく,animal noise. to chirp roar or croak etc.,3
無くす,なくす,to lose something,4
なぜ,なぜ,why,5
夏,なつ,summer,6
夏休み,なつやすみ,summer holiday,7
など,など,et cetera,8
七つ,ななつ,seven,9
七日,なのか,seven days the seventh day,10
名前,なまえ,name,11
習う,ならう,to learn,12
並ぶ,ならぶ,to line up to stand in a line,13
並べる,ならべる,to line up to set up ,14
なる,なる,to become,15
何,なん/なに,what,16
二,に,two,17
賑やか,にぎやか,bustling busy,18
肉,にく,meat,19
西,にし,west,20
日曜日,にちようび,Sunday,21
荷物,にもつ,luggage,22
ニュース,ニュース,news,1
庭,にわ,garden,2
脱ぐ,ぬぐ,to take off clothes,3
温い,ぬるい,luke warm,4
ネクタイ,ネクタイ,tie necktie,5
猫,ねこ,cat,6
寝る,ねる,to go to bed to sleep ,7
ノート,ノート,notebook exercise book,8
登る,のぼる,to climb,9
飲み物,のみもの,a drink,10
飲む,のむ,to drink,11
乗る,のる,to get on to ride,12
歯,は,tooth,13
パーティー,パーティー,party,14
はい,はい,yes,15
灰皿,はいざら,ashtray,16
入る,はいる,to enter to contain,17
葉書,はがき,postcard,18
はく,はく,to wear to put on trousers ,19
箱,はこ,box,20
橋,はし,bridge,21
はし,はし,chopsticks,22
始まる,はじまる,to begin,1
初め/始め,はじめ,beginning,2
初めて,はじめて,for the first time,3
走る,はしる,to run,4
バス,バス,bus,5
バター,バター,butter,6
二十歳,はたち,20 years old 20th year,7
働く,はたらく,to work,8
八,はち,eight,9
二十日,はつか,twenty days twentieth,10
花,はな,flower,11
鼻,はな,nose,12
話,はなし,talk story,13
話す,はなす,to speak,14
早い,はやい,early,15
速い,はやい,quick,16
春,はる,spring,17
貼る,はる,to stick,18
晴れ,はれ,clear weather,19
晴れる,はれる,to be sunny,20
半,はん,half,21
晩,ばん,evening,22
パン,パン,bread,1
ハンカチ,ハンカチ,handkerchief,2
番号,ばんごう,number,3
晩御飯,ばんごはん,evening meal,4
半分,はんぶん,half minute,5
東,ひがし,east,6
引く,ひく,to pull,7
弾く,ひく,to play an instrument with strings including piano ,8
低い,ひくい,short low,9
飛行機,ひこうき,aeroplane,10
左,ひだり,left hand side,11
人,ひと,person,12
一つ,ひとつ,one,13
一月,ひとつき,one month,14
一人,ひとり,one person,15
暇,ひま,free time,16
百,ひゃく,hundred,17
病院,びょういん,hospital,18
病気,びょうき,illness,19
昼,ひる,noon daytime,20
昼御飯,ひるごはん,midday meal,21
広い,ひろい,spacious wide,22
フィルム,フィルム,roll of film,1
封筒,ふうとう,envelope,2
プール,プール,swimming pool,3
フォーク,フォーク,fork,4
吹く,ふく,to blow,5
服,ふく,clothes,6
二つ,ふたつ,two,7
豚肉,ぶたにく,pork,8
二人,ふたり,two people,9
二日,ふつか,two days second day of the month,10
太い,ふとい,fat,11
冬,ふゆ,winter,12
降る,ふる,to fall e.g. rain or snow ,13
古い,ふるい,old (not used for people),14
ふろ,ふろ,bath,15
文章,ぶんしょう,sentence text,16
ページ,ページ,page,17
下手,へた,unskillful,18
ベッド,ベッド,bed,19
ペット,ペット,pet,20
部屋,へや,room,21
辺,へん,area,22
ペン,ペン,pen,1
勉強,べんきょうする,to study,2
便利,べんり,useful convenient,3
帽子,ぼうし,hat,4
ボールペン,ボールペン,ball-point pen,5
ほか,ほか,other the rest,6
ポケット,ポケット,pocket,7
欲しい,ほしい,want,8
ポスト,ポスト,post,9
細い,ほそい,thin,10
ボタン,ボタン,button,11
ホテル,ホテル,hotel,12
本,ほん,book,13
本棚,ほんだな,bookshelves,14
ほんとう,ほんとう,truth,15
毎朝,まいあさ,every morning,16
毎月,まいげつ/まいつき,every month,17
毎週,まいしゅう,every week,18
毎日,まいにち,every day,19
毎年,まいねん/まいとし,every year,20
毎晩,まいばん,every night,21
前,まえ,before,22
曲る,まがる,to turn to bend,1
まずい,まずい,unpleasant,2
また,また,again and,3
まだ,まだ,yet still,4
町,まち,town city,5
待つ,まつ,to wait,6
まっすぐ,まっすぐ,straight ahead direct,7
マッチ,マッチ,match,8
窓,まど,window,9
丸い/円い,まるい,round circular,10
万,まん,ten thousand,11
万年筆,まんねんひつ,fountain pen,12
磨く,みがく,to brush teeth to polish ,13
右,みぎ,right side,14
短い,みじかい,short,15
水,みず,water,16
店,みせ,shop,17
見せる,みせる,to show,18
道,みち,street,19
三日,みっか,three days third day of the month,20
三つ,みっつ,three,21
緑,みどり,green,22
皆さん,みなさん,everyone,1
南,みなみ,south,2
耳,みみ,ear,3
見る,みる,to see,4
観る,みる,to watch,5
みんな,みんな,everyone,6
六日,むいか,six days sixth day of the month,7
向こう,むこう,over there,8
難しい,むずかしい,difficult,9
六つ,むっつ,six,10
村,むら,village,11
目,め,eye,12
メートル,メートル,metre,13
眼鏡,めがね,glasses,14
もう,もう,already,15
もう一度,もういちど,again,16
木曜日,もくようび,Thursday,17
持つ,もつ,to hold,18
もっと,もっと,more,19
物,もの,thing,20
門,もん,gate,21
問題,もんだい,problem,22
八百屋,やおや,greengrocer,1
野菜,やさい,vegetable,2
易しい,やさしい,easy simple,3
安い,やすい,cheap,4
休み,やすみ,rest holiday,5
休む,やすむ,to rest,6
八つ,やっつ,eight,7
山,やま,mountain,8
やる,やる,to do,9
夕方,ゆうがた,evening,10
夕飯,ゆうはん,dinner,11
郵便局,ゆうびんきょく,post office,12
昨夜,ゆうべ,last night,13
有名,ゆうめい,famous,14
雪,ゆき,snow,15
行く,ゆく,to go,16
ゆっくりと,ゆっくりと,slowly,17
八日,ようか,eight days eighth day of the month,18
洋服,ようふく,western-style clothes,19
よく,よく,often well,20
横,よこ,beside side width,21
四日,よっか,four days fouth day of the month,22
四つ,よっつ,four,1
呼ぶ,よぶ,to call out to invite,2
読む,よむ,to read,3
夜,よる,evening night,4
弱い,よわい,weak,5
来月,らいげつ,next month,6
来週,らいしゅう,next week,7
来年,らいねん,next year,8
ラジオ,ラジオ,radio,9
ラジカセ,ラジカセ,radio cassette,10
ラジオカセット,ラジオカセット,radio cassette player,11
りっぱ,りっぱ,splendid,12
留学生,りゅうがくせい,overseas student,13
両親,りょうしん,both parents,14
料理,りょうり,cuisine,15
旅行,りょこう,travel,16
零,れい,zero,17
冷蔵庫,れいぞうこ,refrigerator,18
レコード,レコード,record,19
レストラン,レストラン,restaurant,20
練習,れんしゅうする,to practice,21
廊下,ろうか,corridor,22
六,ろく,six,1
ワイシャツ,ワイシャツ,business shirt,2
若い,わかい,young,3
分かる,わかる,to be understood,4
忘れる,わすれる,to forget,5
私,わたくし,(humble) I myself,6
私,わたし,I myself,7
渡す,わたす,to hand over,8
渡る,わたる,to go across,9
悪い,わるい,bad,10
より、ほう,より、ほう,Used for comparison.,11
